company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Sanskar Technolab Pvt Ltd,Junior Python Developer,India,1200000.0,"CSS, Software troubleshooting, Analysis skills, JavaScript, Communication skills",,Python Developer
STW Services LLP,Python Developer,Pune,3600000.0,"CSS, JavaScript, Django, Python, HTML",3.6,Python Developer
InitiateFirst.,Python Developer (Streamlit),Remote,0.0,"UX, UI, Python",3.5,Python Developer
AppleTech,Python Developer,Remote,0.0,"CSS, React, Git, SQL, AWS",,Python Developer
Incipientinfo,Python /AIML Developer,Ahmedabad,600000.0,"TensorFlow, Web development, NoSQL, SQL, OOP",4.4,Python Developer
Intellect Outsource,Python Developer,Thrissur,400000.0,"Visual Studio, Ubuntu, Django, Apache, AI",3.0,Python Developer
Infosys,Python Pyspark Developer,Pune,450000.0,"Azure, Microsoft SQL Server, SQL, Machine learning, Scrum",3.6,Python Developer
Cozentus Technologies,Python Developer,Bhubaneshwar,350000.0,"OOP, Python",3.4,Python Developer
Tricky Web Solutions Pvt Ltd,Python Developer,Mohali,550000.0,"TensorFlow, NoSQL, Databases, SQL, Machine learning",4.0,Python Developer
Mindcom,Junior Python Developer,India,378000.0,"CI/CD, React, Kubernetes, NoSQL, Git",,Python Developer
Nithminds Private limited,Python with Tyescript Developer -Immediate Joiner,Remote,700000.0,"SQL, Angular, Agile, TypeScript, Communication skills",,Python Developer
APPWRK IT SOLUTIONS,Python Developer,Mohali,1200000.0,"CSS, Git, SQL, OOP, Analysis skills",3.9,Python Developer
Technovert,Python Developer,Hyderābād,700000.0,"CI/CD, Azure, Web development, XML, Git",4.0,Python Developer
NAVNIT GROUP,Python Developer,Ahmedabad,350000.0,"Django, Communication skills, Python",,Python Developer
PanApps,Python Developer,Remote,0.0,"CI/CD, Azure, CSS, Software troubleshooting, React",,Python Developer
NicheTech Computer Solutions,AI ML Python Developer Intern,Ahmedabad,0.0,"TensorFlow, Image processing, Azure, Computer vision, Big data",4.8,Python Developer
Aritha,Python developer,India,0.0,"Microservices, SQL, AWS, Docker, Python",3.3,Python Developer
Bol7,Python Developer,Delhi,228000.0,"AI, Python",,Python Developer
Kaizen Voiz,Junior Python Developer,Chennai,372000.0,"Jira, TensorFlow, Image processing, Computer vision, Test automation",,Python Developer
Zehntech,Python Developer,Indore,450000.0,"CSS, JavaScript, Django, Python, HTML",3.1,Python Developer
CIS,Junior Python Developer,Indore,4800000.0,"CI/CD, Azure, MVC, CSS, Software troubleshooting",4.3,Python Developer
Weavers Web,Python Developers,Calcutta,4200000.0,"TensorFlow, Machine learning, Data science, AI, Python",4.0,Python Developer
[x]cube LABS,Python Developer,Hyderābād,600000.0,"CI/CD, CSS, Git, MongoDB, Databases",4.4,Python Developer
CIS,Python Developer Fresher,Indore,4800000.0,"AJAX, MVC, CSS, Microsoft SQL Server, Java",4.3,Python Developer
Appventurez Mobitech,Python Developer,Noida,0.0,"Azure, iOS, Git, Google Cloud Platform, Microservices",,Python Developer
Appventurez Mobitech,AI/ML Python Developer,Noida,0.0,"Azure, iOS, Git, Google Cloud Platform, Microservices",,Python Developer
Associative,Python Developer,Pune,30000.0,"Marathi, Drupal, Oracle, Node.js, Unreal Engine",,Python Developer
CIS,Senior Python Developer,Indore,4800000.0,"CI/CD, Azure, CSS, React, Web development",4.3,Python Developer
