company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Cygnus Professionals Inc.,DevOps Architect,Hyderābād,3600000.0,"CI/CD, Azure, Cloud architecture, Kubernetes, Project planning",4.3,DevOps Engineer
HyreSpree,DevOps Engineer,Gurgaon,1080000.0,"CI/CD, SQL, AWS, Terraform, Continuous integration",,DevOps Engineer
Burns & McDonnell,DevOps Platform Engineer ( IT ),Mumbai,0.0,"CI/CD, Azure, Kubernetes, Ansible, NoSQL",4.1,DevOps Engineer
Morningstar,DevOps Engineer,Navi Mumbai,500000.0,"CI/CD, Statistics, Cloud infrastructure, Software deployment, Git",4.0,DevOps Engineer
Amar Infotech,Jr. DevOps Engineer,Ahmedabad,3000000.0,"CI/CD, Cloud infrastructure, Azure, Software troubleshooting, Kubernetes",4.4,DevOps Engineer
HiringGo,Devops Engineer- Algorithmic Trading,Gurgaon,1300000.0,"CI/CD, Ansible, Software deployment, DevOps, SQL",,DevOps Engineer
Propel Technology Group,Devops Engineer,Chennai,650000.0,"FTP, CI/CD, Cloud infrastructure, Azure, PCI",4.4,DevOps Engineer
Meesho,Devops Engineer II,Bengaluru,650000.0,"CI/CD, Go, Kubernetes, Spark, Git",3.8,DevOps Engineer
Baryons Software Solutions,Devops Engineer,Bengaluru,650000.0,"Jira, Git, AWS, Analysis skills, Docker",4.0,DevOps Engineer
Cricbuzz,DevOps Engineer,Bengaluru,650000.0,"Ansible, DevOps, iOS, NoSQL, Google Cloud Platform",4.1,DevOps Engineer
Collinson,DevOps Engineer,Mumbai,450000.0,"Microsoft Windows Server, CI/CD, PCI, Kubernetes, Load balancing",3.9,DevOps Engineer
HotelKey,DevOps Engineer,Nāgpur,750000.0,"CI/CD, Gradle, Kubernetes, DevOps, Tomcat",3.4,DevOps Engineer
DHL,Associate DevOps Engineer,Chennai,600000.0,"Jira, Azure, React, Kubernetes, English",3.9,DevOps Engineer
Colruyt IT Consultancy India,Devops Engineer,Coimbatore,650000.0,"CI/CD, Gradle, Waterfall, Ansible, DevOps",3.9,DevOps Engineer
hyre global service pvt.ltd.,Sr. DevOps Engineer,Bengaluru,1500000.0,"CI/CD, Azure, Ansible, DevOps, Docker",,DevOps Engineer
MediaNV,DevOps Engineer,Ahmedabad,450000.0,"Jira, CI/CD, Kubernetes, Ansible, Software deployment",,DevOps Engineer
DataArt,DevOps Engineer,Bengaluru,850000.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Ansible",4.5,DevOps Engineer
Parity Cube,DevOps Engineer,India,0.0,"CI/CD, Elasticsearch, System administration, Software deployment, DevOps",3.8,DevOps Engineer
Kore.ai,DevOps Engineer,Hyderābād,450000.0,"CI/CD, Search engines, Azure, Software deployment, Configuration management",3.5,DevOps Engineer
Other Side Consulting,Senior DevOps Engineer,Remote,1600000.0,"CI/CD, Azure, Kubernetes, DevOps, Git",,DevOps Engineer
Capital Placement Services,DevOps Engineer For MNC Company in Gurgaon,Gurgaon,700000.0,"DevOps, Scalability, Agile",,DevOps Engineer
Intuit Management Consultancy,MLOps/DevOps Engineer,Remote,500000.0,"CI/CD, Azure, Kubernetes, DevOps, Spark",2.4,DevOps Engineer
GrayCell Technologies,DevOps Engineer,Chandigarh,0.0,"CI/CD, Kubernetes, Software deployment, DevOps, AWS",,DevOps Engineer
PradeepIT Consulting Services,Devops Engineer,Bengaluru,550000.0,"Oracle, Ant, Bamboo, WebSphere, DevOps",4.5,DevOps Engineer
iFlair Web Technologies,Devops Engineer,Ahmedabad,4800000.0,"CI/CD, TCP, Cloud infrastructure, Kubernetes, Load balancing",4.1,DevOps Engineer
Enfuse Solutions,DevOps Engineer,Mumbai,600000.0,"Jira, Elasticsearch, Oracle, Node.js, DevOps",3.6,DevOps Engineer
Copper Digital,DevOps Engineer,Gurgaon,600000.0,"CI/CD, Cloud infrastructure, Azure, Cloud architecture, Kubernetes",4.3,DevOps Engineer
GeekMindz Solutions,Jr. DevOps Engineer,Ahmedabad,700000.0,"CI/CD, Cloud infrastructure, Azure, Oracle, Kubernetes",3.7,DevOps Engineer
Lifesight,DevOps Engineer,Bengaluru,750000.0,"CI/CD, Cloud infrastructure, Kubernetes, DevOps, Git",4.0,DevOps Engineer
NLTS INDIA PVT LTD,DevOps Engineer,Bengaluru,1350000.0,"JBoss, Jira, CI/CD, Operating systems, Kubernetes",,DevOps Engineer
Data Axle,DevOps Engineer,Pune,850000.0,"Cloud infrastructure, Research, AWS, DNS, Active Directory",3.5,DevOps Engineer
Mailercloud,Devops Intern Engineer,Calicut,0.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Ansible",3.0,DevOps Engineer
MNJ Software,DevOps Engineer,Remote,0.0,"Cloud infrastructure, Software troubleshooting, DevOps, English, Windows",3.6,DevOps Engineer
Nithish Software Soluctions Private Limited,DevOps Engineer,Visakhapatnam,420000.0,"CI/CD, Software troubleshooting, Java, Project management, Continuous integration",,DevOps Engineer
Dicetek LLC,DevOps Engineer,Bengaluru,0.0,"Azure, Kubernetes, Ansible, DevOps, Git",4.3,DevOps Engineer
Houghton Mifflin Harcourt,DevOps Engineer,Pune,800000.0,"CI/CD, Elasticsearch, Cloud infrastructure, Oracle, Node.js",3.3,DevOps Engineer
Capital Placement Services,DevOps Engineer For Software Company in Udyog Vihar Gurgaon,Gurgaon,1100000.0,"Web development, DevOps, Docker, Software development, Puppet",,DevOps Engineer
NCR,DevOps Engineer II,Hyderābād,0.0,"CI/CD, Azure, Kubernetes, Ansible, Software deployment",3.4,DevOps Engineer
BPK Tech,DevOps Engineer/Platform Engineer,Remote,0.0,"Kubernetes, Big data, Software deployment, DevOps, Spark",4.3,DevOps Engineer
Sopra Steria,DevOps-OpenShift Engineer,Bengaluru,900000.0,"CI/CD, Kubernetes, Software deployment, DevOps, Git",3.7,DevOps Engineer
SynergyTop,DevOps Engineer,India,0.0,"CI/CD, Software troubleshooting, Project management, Continuous integration",4.7,DevOps Engineer
TotHR Solutions,DevOps Engineer,Cochin,600000.0,"AWS, Terraform, Continuous integration",5.0,DevOps Engineer
embedUR systems,DevOps Engineer,Chennai,600000.0,"CI/CD, Cloud infrastructure, System administration, Kubernetes, Ansible",3.8,DevOps Engineer
