company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Blue Nile Software Systems Private Limited,Digital Marketing Specialist,India,210000.0,"Social media marketing, Social media management, Digital marketing, Communication skills, Marketing",,Digital Marketing Specialist
Maple CRM,Digital Marketing Specialist,Bengaluru,500000.0,"Google AdWords, Digital marketing, Communication skills",4.7,Digital Marketing Specialist
Banwet Industries Pvt Ltd,Digital Marketing Specialist,Cochin,372000.0,"Social media marketing, Social media management, Keyword research, Content creation, Digital marketing",,Digital Marketing Specialist
Realtors Studio,Digital Marketing Specialist,Gurgaon,420000.0,"Social media marketing, Social media management, Lead generation, Digital marketing, SEO",,Digital Marketing Specialist
Aveo Film Production Pvt Ltd,Digital Marketing Specialist,India,390000.0,"Social media marketing, Social media management, Keyword research, Digital marketing, SEO",,Digital Marketing Specialist
Rameswara Transport Company,Digital Marketing Specialist,India,420000.0,"Adobe Photoshop, Branding, Facebook Advertising, Adobe Creative Suite, Graphic design",,Digital Marketing Specialist
EHS25 HR India PVT. Ltd.,Senior Digital Marketing Specialist,India,408000.0,"Digital marketing, SEO tools, Google Ads, Leadership, SEM",,Digital Marketing Specialist
CapitalSquare Group,Digital Marketing Specialist,India,0.0,"Web analytics, Facebook Advertising, Analysis skills, Project management, Digital marketing",2.8,Digital Marketing Specialist
ETPL,Digital Marketing Specialist,India,900000.0,"Branding, Lead generation, Digital marketing, SEO, Google Ads",,Digital Marketing Specialist
Purple Brick Consulting,Digital Marketing Specialist,Gurgaon,1800000.0,"Social media marketing, Facebook Advertising, Social media management, Digital marketing, SEO",4.4,Digital Marketing Specialist
Incobist,Digital Marketing Specialist,Bhubaneshwar,350000.0,"Digital marketing, Marketing automation, Communication skills, Marketing",,Digital Marketing Specialist
Uffizio,Digital Marketing Specialist,India,480000.0,"Email marketing, Social media marketing, Facebook Advertising, Internet of things, Digital marketing",,Digital Marketing Specialist
e-Zest Solutions,Digital Marketing Specialist,Pune,600000.0,"Facebook Advertising, Social media management, Customer service, Digital marketing, Organizational skills",4.0,Digital Marketing Specialist
Vinsup Info tech PVT LTD,Digital Marketing Specialist,India,360000.0,"Social media marketing, Keyword research, Analysis skills, Digital marketing, Team management",,Digital Marketing Specialist
BEO software,Digital Marketing Specialist,Cochin,0.0,"Social media marketing, Analysis skills, Product development, APIs, Office experience",4.1,Digital Marketing Specialist
Intelous.AI,Digital Marketing Specialist,India,390000.0,"CSS, Lead generation, Conversion optimization, Marketing automation, A/B testing",,Digital Marketing Specialist
Aakruti Software Solutions Pvt. Ltd,Digital Marketing Specialist,India,300000.0,"Google AdWords, Social media management, Analysis skills, Market research, Digital marketing",,Digital Marketing Specialist
MakersLoft,Digital Marketing Specialist,India,0.0,"Social media marketing, Keyword research, Lead generation, Analysis skills, Digital marketing",3.0,Digital Marketing Specialist
krishna Enterprises,Digital Marketing Specialist,India,330000.0,"Social media marketing, Social media management, Digital marketing, SEO, Relationship management",,Digital Marketing Specialist
BK JOB PLACEMENT SERVICES,Digital Marketing Specialist,India,360000.0,"Social media marketing, Facebook Advertising, Social media management, E-Commerce, Digital marketing",,Digital Marketing Specialist
Vservetec Pvt.Ltd,Digital Marketing Specialist,Nāgpur,312000.0,"Email marketing, Facebook Advertising, Keyword research, Digital marketing, Content marketing",,Digital Marketing Specialist
GLASSOLOGY TECH ELECTRONICS TRADING LLC,Digital Marketing Specialist,Vasai,342000.0,"Social media marketing, Social media management, Digital marketing, SEO, Relationship management",,Digital Marketing Specialist
"SGHS Superspeciality Hospital, Sohana",Digital Marketing Specialist,Mohali,450000.0,"Social media marketing, Facebook Advertising, Digital marketing, SEO tools, Google Ads",,Digital Marketing Specialist
Techplek,SMO + Digital Marketing Specialist,Delhi,0.0,"Digital marketing, Media planning",3.5,Digital Marketing Specialist
ALPHA BETA MARKETING SOLUTIONS LLP,Digital Marketing- PPC specialist,India,420000.0,"Facebook Advertising, Analysis skills, Digital marketing, Google Ads, B2B Marketing",,Digital Marketing Specialist
Versa Drives,Digital Marketing and Engagement Specialist,Coimbatore,400000.0,,3.0,Digital Marketing Specialist
In4velocity Systems,Digital Marketing Specialist,Bengaluru,2400000.0,"Social listening, Branding, Writing skills, Content creation, Communication skills",4.1,Digital Marketing Specialist
WORKFORCE WOVEN,Digital Marketing Specialist-Female Only,India,240000.0,"Keyword research, Project management, Content creation, Digital marketing, SEO",,Digital Marketing Specialist
