company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Qualcomm,Customer Success Engineer - Embedded Linux,Hyderābād,0.0,"Jira, Operating systems, Git, English, Technical support",3.9,UX Designer
Luxoft,Embedded Linux Development Engineer,Bengaluru,550000.0,"English, OS Kernels, C++, C, Virtualization",3.7,UX Designer
NVIDIA,Linux Kernel System Software Engineer,Hyderābād,700000.0,"Performance tuning, OS Kernels, SoC, C, Embedded software",4.5,UX Designer
CNC Hospitality Pvt Ltd,Linux Engineer - System,Farīdābād,450000.0,"TCP, OS Kernels, DHCP, Analysis skills, C",,UX Designer
Dexcel Electronics,Embedded Linux,Bengaluru,4800000.0,"FPGA, OS Kernels, Embedded software, Linux, Debugging",4.1,UX Designer
Lucy Electric,Embedded Software Engineer - C++ Linux,Vadodara,4200000.0,"Jira, Microsoft Powerpoint, Microsoft Word, TCP, Operating systems",3.9,UX Designer
Qualcomm,"Linux Kernel Development, Engineer",Hyderābād,4200000.0,"Data structures, OS Kernels, Linux, ARM",3.9,UX Designer
Dell,"Software Principal Engineer(C, Linux, PLDM, SNMP, Firmware)",Bengaluru,750000.0,"FPGA, System architecture, Firmware, C++, C",3.9,UX Designer
Morse Micro,Linux Wi-Fi Driver / Firmware Engineer,Bengaluru,600000.0,"Computer science, Firmware, Test automation, Analysis skills, C++",3.8,UX Designer
Hyundai Mobis,Linux BSP - Board Support Package Engineer,Hyderābād,700000.0,"OOP, OS Kernels, C++, C, Virtualization",3.3,UX Designer
Timesys Corporation,Embedded Linux BSP/Platform Software Engineer,Chennai,800000.0,"Git, OS Kernels, Ethernet, Scripting, Computer networking",2.3,UX Designer
Qualcomm,Principal Engineer - Embedded Linux,Bengaluru,4200000.0,"5G, Data analysis skills, Java, C++, C",3.9,UX Designer
Motionzen Services,Embedded Software Engineer - Linux Platform,Chennai,300000.0,"Schematics, LAN, GPS, Embedded software, WAN",,UX Designer
Pixxel,Sr. Embedded Linux Engineer,Bengaluru,450000.0,"FPGA, Data structures, Git, OS Kernels, C++",4.7,UX Designer
NVIDIA,Linux Memory Management Engineer – Tegra SoCs,Pune,550000.0,"OS Kernels, Electrical experience, Linux, ARM, AI",4.5,UX Designer
Microvision Electronics Pvt Ltd,Linux Device Development Engineer,India,1100000.0,"English, OS Kernels, SoC, Driving, Kannada",,UX Designer
ADCI - Karnataka,"Embedded Software Development Engineer - C/C++/Linux-Kernel, Ring",Bengaluru,3600000.0,"Firmware, OS Kernels, C++, Quality assurance, C",3.6,UX Designer
Vayavya Labs,Linux Multimedia Application Engineer,Bengaluru,4800000.0,"Application development, OS Kernels, Analysis skills, C++, C",4.1,UX Designer
Vertiv,Team Lead Firmware (Embedded C/C++ And Linux),Pune,600000.0,"English, C++, C, Embedded software, Software development",3.6,UX Designer
Beta Soft Technology,Frontend UI Developer,Delhi,0.0,HTML,3.4,UX Designer
Virtusa,ReactJS Frontend UI Developer,Chennai,600000.0,"CSS, Software troubleshooting, React, Performance testing, Java",3.7,UX Designer
Convergint Technologies,Frontend/UI Developer,Bengaluru,850000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Azure, Microsoft Outlook",3.7,UX Designer
Yashaa Digital,Freelance UI/UX Developer,Remote,3456000.0,"Web design, Adobe Photoshop, Typography, CSS, Adobe Creative Suite",5.0,UX Designer
Infoane,UI Developer,Hyderābād,4200000.0,"Adobe Photoshop, CSS, Bootstrap, JavaScript, Adobe XD",3.8,UX Designer
"E-Motive India Online Limited,",UI Developer,Remote,540000.0,"Software troubleshooting, React, Test automation, Git, JavaScript",,UX Designer
American Chase LLP,UI Developer,Remote,540000.0,"Node.js, CSS, React, Selenium, Git",,UX Designer
Digibells e Solutions India Pv.t Ltd.,UI Developer / Frontend Developer,India,168000.0,"CSS, Git, Responsive web design, JavaScript, REST",,UX Designer
Kyros Corporate Services Ltd,UI Developer,Remote,900000.0,"CSS, React, Git, Responsive web design, Analysis skills",,UX Designer
Increff,SDE I - UI Developer - React Js,Bengaluru,700000.0,"Node.js, React, Responsive web design, JavaScript, UI",3.7,UX Designer
Rite Software Solutions & Services (IN),UI/UX-Frontend Developer,Hyderābād,3600000.0,"Adobe Photoshop, Cloud infrastructure, CSS, Bootstrap, Content management systems",4.1,UX Designer
Onevega system India Pvt Ltd,UI Developer,Bengaluru,1100000.0,"CSS, Git, Java, JavaScript, HTML",,UX Designer
Dicetek LLC,UI Developer,Remote,0.0,"Node.js, CSS, React, DevOps, Git",4.3,UX Designer
UFS Technologies Pvt. Ltd.,UI Developer,India,300000.0,"Web development, Responsive web design, UX, UI, Communication skills",1.0,UX Designer
VCarve Technologies,UI Developer,Hyderābād,0.0,"React, E-Commerce, JavaScript, Angular",3.2,UX Designer
Quick Recruit,UI Developer,Bengaluru,1900000.0,"CSS, D3.js, Performance testing, JavaScript, SASS",,UX Designer
