company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Macquarie Group Limited,Network Security Engineer,Gurgaon,6.5,"Load balancing, Windows, Firewall, Analysis skills, Computer networking",3.8,Cybersecurity Specialist
Secure Network Solutions India,Network Security Engineer (Email Security),Chennai,5.0,"Authentication, Encryption, LDAP, ISO 27001, Cybersecurity",4.4,Cybersecurity Specialist
TCR Services 360,Network Security Engineer,Thāne,5.5,"Penetration testing, PCI, LAN, Encryption, PKI",0.0,Cybersecurity Specialist
Zensar Technologies,Network Security Engineer,Hyderābād,7.3,"Azure, Customer service, Load balancing, Firewall, DHCP",3.9,Cybersecurity Specialist
Orient Technologies,Network Security Engineer - End Point Security,Mumbai,5.0,,3.2,Cybersecurity Specialist
Yellow Sapphire Technologies,Network Security Engineer – Ivanti Connect Secure,Delhi,13.5,"Authentication, TCP, Azure, Encryption, DHCP",4.8,Cybersecurity Specialist
Kepsure Solutions Pvt. Ltd.,Senior Network Security Engineer,Ahmedabad,5.5,"Microsoft Windows Server, English, Information security, Firewall, Communication skills",0.0,Cybersecurity Specialist
Sureworks Infotech Pvt Ltd,Network Security Engineer,Mumbai,42.0,"Azure, Firewall, AWS, SSL, IDS",3.6,Cybersecurity Specialist
Virtusa,Network Security Engineer,Chennai,5.0,"Encryption, Firewall, IT, SIEM, Identity & access management",3.7,Cybersecurity Specialist
Kiffcom,Microsoft Cyber Security Engineer,India,14.5,"TCP, Azure, Encryption, English, Information security",0.0,Cybersecurity Specialist
Warrior tech solutions,Network Security Engineer,Chennai,4.5,"Information security, Firewall, Network protocols, Computer networking, Cisco ASA",0.0,Cybersecurity Specialist
NAVNIT GROUP,Network Security Engineer ( proxy ),Mumbai,6.5,"Information security, SDKs, REST, APIs, Network security",0.0,Cybersecurity Specialist
Google,"Security Engineer, Detection and Response",Hyderābād,6.6,,4.3,Cybersecurity Specialist
Konverge Technologies Pvt Ltd India,Network Security Engineer L2/L3,Mumbai,4.5,"Software deployment, Field sales, Firewall",3.8,Cybersecurity Specialist
GTS TECHNOSOFT PRIVATE LIMITED,Network Security Engineer,Pune,2.5,"Network administration, System administration, Network infrastructure, Firewall, Computer networking",0.0,Cybersecurity Specialist
Xylem,Cybersecurity Engineer,Bengaluru,48.0,"Oracle, Software troubleshooting, Microsoft SQL Server, Information security, Firewall",3.8,Cybersecurity Specialist
VachiLabs Innovations Pvt Ltd,Senior Network Security Engineer,Bhopal,11.0,"Firewall, Computer networking, Research & development, Network security",0.0,Cybersecurity Specialist
ShyftLabs,Security Engineer,Noida,5.5,"Analysis skills, Software development, Communication skills, SDLC",3.6,Cybersecurity Specialist
Pine Labs,Network Security Engineer,Noida,9.5,"Jira, Azure, Load balancing, Firewall, AWS",3.2,Cybersecurity Specialist
Apple,"Penetration Tester, Retail Engineering",Hyderābād,12.423076923076923,"Penetration testing, Cloud infrastructure, Go, Cloud architecture, Information security",4.1,Cybersecurity Specialist
Boby Chemmanur International Group,Penetration Tester,Thrissur,3.0,Cybersecurity,0.0,Cybersecurity Specialist
IATOCS PVT LTD,Network Penetration Tester,Remote,17.0,"FTP, Penetration testing, TCP, PCI, WebSphere",0.0,Cybersecurity Specialist
Right Advisors Private Limited,Penetration Tester,Hyderābād,7.5,"Penetration testing, Management, Sales, Information security, Analysis skills",0.0,Cybersecurity Specialist
Codesecure Solutions,Penetration Tester,India,3.3,"Penetration testing, PCI, Analysis skills, SIEM, Communication skills",0.0,Cybersecurity Specialist
Bulletproof,Penetration Tester - India,Delhi,12.37037037037037,"Penetration testing, Operating systems, Mobile applications, iOS, English",3.8,Cybersecurity Specialist
CODEC Networks,Penetration Tester / Exploiter,Delhi,13.714285714285714,"Information security, Nessus, Metasploit, Linux, Nmap",3.6,Cybersecurity Specialist
Crypto Mize,Penetration Tester,Delhi,13.5,"Penetration testing, Information security, Analysis skills, Financial services, Chef",4.8,Cybersecurity Specialist
Accorian,Penetration Tester Consultant (2-4 years),Bengaluru,9.0,"Penetration testing, Information security, Scripting, APIs, Communication skills",3.0,Cybersecurity Specialist
ValueMentor,Network Penetration Tester,Cochin,42.0,"Penetration testing, Git, Analysis skills, Presentation skills, SDKs",4.0,Cybersecurity Specialist
Testriq QA Lab LLP,Penetration Tester,India,4.2,"Penetration testing, Azure, Windows, SQL, AWS",3.9,Cybersecurity Specialist
VikingCloud,Penetration Tester,Vadodara,5.0,"Penetration testing, Git, Information security, JavaScript, Network protocols",3.0,Cybersecurity Specialist
FYNXT,Penetration Tester (OSCP Certified),Surat,7.25,"Penetration testing, TCP, Azure, Operating systems, Windows",3.2,Cybersecurity Specialist
Gen Digital,Princ Penetration Tester,Chennai,5.0,"Penetration testing, Fiddler, ASP.NET, Azure, Operating systems",3.5,Cybersecurity Specialist
CODEC Networks,Penetration Tester,Delhi,13.714285714285714,"XML, C#, .NET, Information security, Java",3.6,Cybersecurity Specialist
Experian,Senior Penetration Tester,Hyderābād,6.0,"Penetration testing, Go, C#, iOS, Encryption",4.2,Cybersecurity Specialist
Blue Yonder,"Penetration Tester consultant- (Pen Testing, API Testing, Mobile Testing)",Bengaluru,7.0,"Penetration testing, Information security, Burp Suite, APIs, Communication skills",4.0,Cybersecurity Specialist
