company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Eminence Technology,Team Lead - MERN Stack Development,Mohali,12.5,"Node.js, React, Web development, Enterprise Software, Git",3.9,Full-Stack Developer
The Liechtenstein Cryptoassets Exchange,Senior Full Stack Developer,Gurgaon,5.0,"CI/CD, Azure, Node.js, Software troubleshooting, React",4.1,Full-Stack Developer
Primafelicitas,Full Stack Developer-MEAN STACK,Noida,42.0,"Azure, Node.js, CSS, React, Kubernetes",4.0,Full-Stack Developer
[x]cube LABS,Java Full Stack Developer,Hyderābād,48.0,"CI/CD, SSO, Go, CSS, React",4.4,Full-Stack Developer
Softura,IoT Full Stack Developer,Chennai,5.5,"Authentication, Azure, Node.js, Internet of things, Big data",3.6,Full-Stack Developer
Indus Net Technologies,Senior Fullstack Backend Developer,Calcutta,8.5,"Azure, Node.js, React, Test automation, NoSQL",4.2,Full-Stack Developer
TechGrit,TECHNICAL LEAD - MERN STACK,India,13.933333333333332,"Node.js, CSS, Customer service, Mobile applications, English",3.7,Full-Stack Developer
Helius Technologies,Senior Full Stack Developer (PHP Laravel /Shopify API),India,11.954285714285714,"MVC, Kubernetes, Web development, Git, English",4.2,Full-Stack Developer
Helius Technologies,Senior Fullstack Engineer,India,11.954285714285714,"Azure, CSS, React, Kubernetes, Web development",4.2,Full-Stack Developer
Cadence Management,Senior Full Stack Web Developer (Team Lead – Fintech Solutions),India,18.0,"CI/CD, Authentication, Azure, Node.js, CSS",0.0,Full-Stack Developer
WadzPay,Full Stack - Tech Lead,India,4.5,"Management, Node.js, CSS, Software troubleshooting, React",2.9,Full-Stack Developer
Purple Austyn Technologies,Python Full Stack Engineer,Remote,6.6467399598393575,"Google Cloud Platform, JavaScript, Natural language processing, AI, TypeScript",0.0,Full-Stack Developer
Commure + Athelas,Fullstack Engineer (International),Karnataka,5.125,"React, Kubernetes, English, Information security, Docker",3.2,Full-Stack Developer
Onevega system India Pvt Ltd,Full Stack Engineer,Remote,9.5,"Azure, Node.js, MongoDB, AWS, Database management",0.0,Full-Stack Developer
Lodgiq,Senior Full Stack Engineer,Remote,24.0,"Software troubleshooting, React, J2EE, Java, Microservices",0.0,Full-Stack Developer
Capital Placement Services,Web Designer For IT Company in Gurgaon,Gurgaon,15.0,"Microsoft Powerpoint, Microsoft Word, Typography, Microsoft Excel, Microsoft Office",0.0,Full-Stack Developer
Illumine Industries,Junior Software Developer - Full stack,Chennai,5.49,"React, NoSQL, SQL, AWS, Analysis skills",4.5,Full-Stack Developer
NCS Pte Ltd.,Full Stack Developer,India,6.125,"Oracle, Software troubleshooting, English, Analysis skills, PostgreSQL",3.3,Full-Stack Developer
WTW,Web Application Pen tester,Mumbai,7.77,"Penetration testing, Operating systems, CSS, Information security, Databases",3.9,Full-Stack Developer
ECGiT,Front-end Web Developer,Pune,5.0,,5.0,Full-Stack Developer
BigSpire Software,Web Developer - Freshers,India,13.584838709677419,Communication skills,3.9,Full-Stack Developer
CrackleCode Pvt. Ltd.,Web Designer cum Frontend Developer,Remote,2.4,"Web design, Adobe Photoshop, CSS, Bootstrap, WordPress",0.0,Full-Stack Developer
Global University Systems,Web Developer,Hyderābād,3.0,"Web design, AJAX, Node.js, CSS, English",3.2,Full-Stack Developer
Engineers Cradle,Frontend (Next.js) Developer Internship,India,0.3,"CSS, Software troubleshooting, React, Responsive web design, JavaScript",0.0,Full-Stack Developer
Stack Console,React / Next.js Developer,Remote,14.331428571428571,"React, JavaScript",4.8,Full-Stack Developer
Mahaveer Soft Solutions,Junior Web Developer/Designer,Hyderābād,4.0,"CSS, XML, Communication skills, HTML",1.0,Full-Stack Developer
Calanjiyam Consultancies and Technologies,Web Development Intern,Remote,0.12,"AJAX, CSS, React, Web development, English",0.0,Full-Stack Developer
HTML MY DESIGN,Intern Web Developer,Remote,1.02,"WordPress, Graphic design, Adobe XD, Front-end development, Figma",0.0,Full-Stack Developer
Webmart Services,Web Developer,Remote,1.68,"WordPress, Web development, PHP, Figma, HTML",0.0,Full-Stack Developer
Unison Consulting Pte Ltd,"Frontend Developer(React.js -18, Next.js - 14)",Remote,25.0,"CSS, Software troubleshooting, React, JavaScript, REST",4.6,Full-Stack Developer
Mahandeo Technologies,Wix Velo - Web Developer,Remote,3.24,"Web development, English, Hindi, Communication skills",0.0,Full-Stack Developer
OSMOS Multimedia Pvt Ltd,Junior Web Developer,Mumbai,6.6467399598393575,"CSS, SQL, PHP, JavaScript, HTML",0.0,Full-Stack Developer
Zeta Global,Web Developer,Hyderābād,8.0,"Adobe Dreamweaver, Adobe Photoshop, CSS, Bootstrap, Adobe Illustrator",3.5,Full-Stack Developer
Arnis Tech Inc.,Web Developer Trainee,Chennai,3.5,"Adobe Dreamweaver, CSS, Java, PHP, C++",0.0,Full-Stack Developer
Paktolus,Web Developer,Remote,19.875,"CSS, Bootstrap, React, Web development, Git",4.4,Full-Stack Developer
Aganitha AI,Web Developer,Hyderābād,48.0,"CSS, React, DevOps, Databases, JavaScript",3.9,Full-Stack Developer
Mdigitz,Junior Web Developer,Cochin,6.6467399598393575,React,0.0,Full-Stack Developer
Aerchain,Web Developer,Remote,0.9,"Web design, Branding, CSS, Responsive web design, JavaScript",0.0,Full-Stack Developer
WebMobi 360,Web Developer Intern,Remote,0.06,English,0.0,Full-Stack Developer
Cedar Information Technology,Web Developer,Remote,11.954285714285714,"CSS, WordPress, Git, JavaScript, HTML",4.2,Full-Stack Developer
Savit Interactive,Web Developer,India,5.0,"CSS, Bootstrap, React, WordPress, Git",0.0,Full-Stack Developer
IFS India Mercantile,Web Developer,Pune,4.5,"CSS, Bootstrap, PHP, JavaScript, Angular",4.6,Full-Stack Developer
Aganitha Cognitive Solutions Pvt Ltd,Web Developer,Hyderābād,6.6467399598393575,"CSS, React, DevOps, Databases, JavaScript",0.0,Full-Stack Developer
Compileinfy Technology Solutions,Full Stack Developer,Hyderābād,18.0,"Cloud architecture, Node.js, CSS, React, NoSQL",0.0,Full-Stack Developer
Zgrow Solutions Private Limited,React Full Stack Developer,Remote,1.375,"Node.js, Software troubleshooting, React, Mobile applications, JavaScript",0.0,Full-Stack Developer
Repac,Intern Web Developer,Bengaluru,1.08,"CSS, WordPress, Responsive web design, JavaScript, HTML",0.0,Full-Stack Developer
Blownfuse Softlabs India Private limited,Full Stack Developer,Remote,4.5,"Azure, Node.js, Software troubleshooting, React, Web development",0.0,Full-Stack Developer
Rapyd,React Frontend Developer with Full Stack Experience,Remote,6.6467399598393575,"CSS, React, Software deployment, PHP, JavaScript",0.0,Full-Stack Developer
Aeonaxis Softech,Web Developer,Lucknow,6.6467399598393575,"PHP, Scripting, MySQL",0.0,Full-Stack Developer
Infynno Solutions,Frontend Developer (React/NextJs + Tailwind CSS),Ahmedabad,42.0,"CSS, React, AWS, JavaScript, UX",5.0,Full-Stack Developer
Evgateway,MERN Stack Developer,Hyderābād,5.0,"Node.js, CSS, Software troubleshooting, React, Git",0.0,Full-Stack Developer
Gammastack,Next Js Developer,Bengaluru,10.5,"Node.js, CSS, React, Express.js, JavaScript",0.0,Full-Stack Developer
Vision Mechatronics Pvt Ltd,Web Developer,India,4.0,"Node.js, CSS, Web development, SQL, PHP",3.0,Full-Stack Developer
Tech Concierge Pro,Web Developer,Remote,3.9,"Email marketing, Drupal, CSS, Bootstrap, WordPress",0.0,Full-Stack Developer
kobit technologies,Web Developer Intern,Remote,1.08,"CSS, Software troubleshooting, WordPress, Databases, PHP",0.0,Full-Stack Developer
Mansa STM Publishers,Web Designer & Developer,Remote,0.9,"Web design, MySQL",0.0,Full-Stack Developer
Yayskool,Front-End Web Developer,Lucknow,12.883684210526317,,4.5,Full-Stack Developer
Tech Pumpkin,Junior Web Developer fresher,Mohali,1.56,"Web design, CSS, WordPress, Responsive web design, PHP",0.0,Full-Stack Developer
Discover WebTech Private Limited,MERN Developer,Indore,4.5,"Node.js, CSS, React, Git, MongoDB",3.5,Full-Stack Developer
Women Entrepreneur Network,Front End Web Developer,Pune,19.0,"CSS, React, Responsive web design, Angular, TypeScript",0.0,Full-Stack Developer
FactWise,Web Developer Intern,India,1.62,"Node.js, React, JavaScript, REST, APIs",0.0,Full-Stack Developer
LurniGo,Web Developer and Coding Tutor,Remote,6.6467399598393575,"CSS, Web development, JavaScript, Python, Teaching experience",0.0,Full-Stack Developer
Emblix Solutions,Web Developer,Hyderābād,48.0,"Drupal, CSS, WordPress, PHP, JavaScript",4.8,Full-Stack Developer
Element-D,Web Developer (HTML and CSS Developer),Bengaluru,5.0,"Adobe Photoshop, Drupal, CSS, WordPress, JavaScript",0.0,Full-Stack Developer
SourceFuse,FullStack(React) Developer,Remote,12.610857142857142,"Node.js, React, Redux, Unit testing, TypeScript",4.0,Full-Stack Developer
Terralogic Vietnam,"FrontEnd Developer [React ,NextJS]",Nellore,4.5,"Node.js, React, JavaScript, Angular, APIs",3.4,Full-Stack Developer
Peertechz,Web developer,India,1.56,"CSS, Web development, English, JavaScript, jQuery",0.0,Full-Stack Developer
EGB Systems & Solutions,Web Developer,Chennai,11.4,"Microsoft SQL Server, Application development, HTML",3.7,Full-Stack Developer
Adroit Solutionz,Web Developer,Chennai,6.6467399598393575,,0.0,Full-Stack Developer
Ezyschooling,Next.JS frontend Intern,Remote,3.6,"CSS, Software troubleshooting, React, Web development, Git",3.8,Full-Stack Developer
P9 Digital,Full Stack Web Developer Intern - WFH,Remote,13.584838709677419,"Azure, Node.js, CSS, Software troubleshooting, React",3.9,Full-Stack Developer
Nowgray IT Services,Web Developer,Uttar Pradesh,12.653846153846153,,5.0,Full-Stack Developer
Cybell Technosys.Com,Web Developer,Hyderābād,6.6467399598393575,"MVC, CSS, Software troubleshooting, Bootstrap, React",0.0,Full-Stack Developer
NEXNOVA,Web Developer,Cochin,1.8,"CSS, WordPress, Web development, JavaScript, HTML",0.0,Full-Stack Developer
Creativephy,Web Developer Intern Remote,Delhi,0.24,"CSS, Software troubleshooting, React, WordPress, Web development",0.0,Full-Stack Developer
Valuetech,Web Developer,Hyderābād,4.5,"Adobe Photoshop, AJAX, CSS, Tomcat, Databases",4.1,Full-Stack Developer
Stymeta Technologies,WEB DEVELOPER – WORDPRESS,Remote,0.3,"CSS, WordPress, PHP, HTML, MySQL",0.0,Full-Stack Developer
American Health Care Academy,Web Developer,Remote,6.6467399598393575,"CSS, PHP, AWS, Mentoring, Software development",0.0,Full-Stack Developer
Digital Folks,Web Developer Intern,India,10.8,"CSS, WordPress, JavaScript, jQuery, HTML",4.5,Full-Stack Developer
Perscitus Solutions,Front-End Web Developer,India,5.0,"Node.js, CSS, Software troubleshooting, React, XML",4.0,Full-Stack Developer
Act T Connect,Web Developer,Bhopal,8.64,,4.0,Full-Stack Developer
