company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Xpert Times,IT Help Desk Technician,Delhi,3.882758620689655,"English, Databases, Customer support, Communication skills, Help desk",0.0,IT Specialist
Conneqt Business Solutions,Tech Support Executive,Bengaluru,3.36,"Technical support, Microsoft Office, ServiceNow, Typing",0.0,IT Specialist
MoEngage Inc,IT Administrator,Bengaluru,7.0,"Jira, Software troubleshooting, Big data, Windows, Information security",4.1,IT Specialist
Diginsta,Tech Support Executive,Bengaluru,3.36,"Technical support, Microsoft Office, ServiceNow, Typing",0.0,IT Specialist
Wissen InfoTech,IT Service Desk Analyst,Bengaluru,48.0,Communication skills,3.7,IT Specialist
Xxat Solution,Tech Support,Raipur,5.0,"Technical support, Communication skills",0.0,IT Specialist
Onex Solutions Pvt Ltd,Tech Support,India,2.7,"Technical support, Microsoft Office, APIs, ServiceNow",3.0,IT Specialist
RoadCast,Tech Support,Delhi,18.28375,Technical support,4.0,IT Specialist
Swathi Business Solutions,IT ADMINISTRATOR,India,18.28375,"Cloud infrastructure, Operating systems, Software troubleshooting, Google Cloud Platform, Firewall",4.0,IT Specialist
Guardian management services,IT Administrator -6-9yrs exp.,India,4.8,"Network installation, TCP, Azure, C#, Windows",0.0,IT Specialist
Mind map IT Solutions,IT Service Desk Support Executive,Mohali,3.5,"Software troubleshooting, Microsoft Office, ServiceNow",0.0,IT Specialist
Bosch Group,IN_RBAI_Senior Engineer-Production IT Support,Bengaluru,48.0,"SQL, C++, C, Continuous integration, Agile",4.1,IT Specialist
Firststep Placement Services,IT Engineer,Bengaluru,9.9,"Microsoft Office, Project management, ServiceNow",0.0,IT Specialist
Larsen & Toubro,IT Engineer,Vadodara,12.5,"Microsoft Windows Server, 2D animation, Oracle, .NET Core, Windows",3.4,IT Specialist
Kapoor and Associates,IT Engineer,Delhi,3.3,"English, Microsoft Office, ServiceNow, Hindi",0.0,IT Specialist
Eon Group,IT Engineer,Gurgaon,3.882758620689655,"Network administration, SSO, Operating systems, Software troubleshooting, IT service management",0.0,IT Specialist
Maruti Suzuki India Ltd,IT Infrastructure Projects Execution,India,9.690000000000001,"LAN, Project management, Communication skills",3.8,IT Specialist
Liebherr-Appliances India Private Limited,IT Infra Engineer,Aurangābād,6.5,"ERP systems, LAN, WAN, MPLS, VMWare",3.8,IT Specialist
JMAN Group,IT Infrastructure Engineer,Chennai,6.0,"Operating systems, Windows, Technical support, Microsoft Office, IT support",3.8,IT Specialist
Network Techlab (India) Pvt. Ltd,IT Engineer,India,5.4,"TCP, Azure, Incident management, Customer service, Firewall",3.8,IT Specialist
DigiValet,System IT Engineer,Indore,4.0,"Hospitality, TCP, Tally, Software troubleshooting, LAN",3.0,IT Specialist
Mouser Electronics,IT Security System Administrator III,Bengaluru,9.5,"Azure, Operating systems, Windows, Information security, Java",3.8,IT Specialist
Ujjivan Small Finance Bank,Credit Manager,India,6.5525,Underwriting,3.4,IT Specialist
Swiggy,Deputy Unit Manager View Jobs,Hyderābād,7.5,Management,3.6,IT Specialist
Staff4Me,IT security JR engineer,Pune,3.882758620689655,"Operating systems, Information security, Firewall, Analysis skills, IDS",0.0,IT Specialist
Dicetek LLC,"Senior Engineer , IT Security Operations – Firewall",Remote,42.0,"TCP, Software troubleshooting, OOP, Firewall, Analysis skills",4.3,IT Specialist
OMH HealthEdge Holdings,SENIOR ENGINEER - IT SECURITY,Coimbatore,6.0,"TCP, Software troubleshooting, OSPF, Network infrastructure, Firewall",4.0,IT Specialist
Qualcomm,Storage & Backup Engineer (IT Engineer),Bengaluru,7.0,"Azure, Oracle, Ansible, Disaster recovery, Solaris",3.9,IT Specialist
Accenture,Application Tech Support Practitioner,Bengaluru,9.690000000000001,"Software troubleshooting, Kubernetes, Technical support, Docker, Scripting",3.8,IT Specialist
Qualcomm,Senior IT Engineer (Desktop Field Services),Bengaluru,10.0,"Desktop support, Customer service, LAN, Laboratory experience, Windows",3.9,IT Specialist
